Corriente (A),Diámetro (mm),Resistencia Cobre (Ohm),Pérdidas Cobre (W),Resistencia Aluminio (Ohm),Pérdidas Aluminio (W),Resistencia Oro (Ohm),Pérdidas Oro (W)
50,30.2020202020202,0.02400858574073315,60.021464351832876,0.03880457462746405,97.01143656866012,0.03210450418818968,80.2612604704742
50,30.60606060606061,0.023378879780928712,58.44719945232178,0.03778679406452432,94.4669851613108,0.03126245552100933,78.15613880252332
50,31.010101010101007,0.022773627028480774,56.934067571201936,0.036808536708823586,92.02134177205896,0.030453105910177785,76.13276477544446
50,31.414141414141415,0.022191577566477647,55.47894391619412,0.03586778234581853,89.66945586454632,0.0296747839551736,74.186959887934
50,31.81818181818182,0.021631560330635263,54.07890082658816,0.03496263820881747,87.40659552204367,0.02892592369794251,72.31480924485628
50,32.22222222222222,0.021092477214328522,52.731193035821306,0.03409132945106587,85.22832362766468,0.028205056740090467,70.51264185022617
50,32.62626262626263,0.020573297681443167,51.43324420360791,0.03325219043861164,83.13047609652911,0.027510805039139125,68.77701259784781
50,33.03030303030303,0.020073053837661295,50.182634594153235,0.03244365678412699,81.10914196031747,0.0268418743178029,67.10468579450725
50,33.43434343434343,0.019590835916131512,48.977089790328776,0.03166425805049163,79.16064512622908,0.026197048027385164,65.49262006846291
50,33.83838383838384,0.0191257881381803,47.814470345450744,0.030912611060547233,77.28152765136808,0.02557518181268296,63.937954531707405
50,34.24242424242424,0.018677104913873744,46.69276228468436,0.03018741375614478,75.46853439036195,0.024975198431342802,62.437996078357
50,34.64646464646465,0.018244027350910626,45.61006837727657,0.0294874395555416,73.718598888854,0.024396083085520028,60.99020771380007
50,35.05050505050505,0.017825840043578838,44.5646001089471,0.02881153216345882,72.02883040864705,0.023836879128041468,59.59219782010367
50,35.45454545454545,0.01742186811638935,43.55467029097338,0.02815860079276884,70.3965019819221,0.023296684109125297,58.24171027281324
50,35.85858585858586,0.01703147449956187,42.578686248904674,0.027527615760919767,68.81903940229941,0.022774646133135058,56.93661533283765
50,36.26262626262626,0.01665405741581214,41.635143539530354,0.02691760442788242,67.29401106970606,0.022269960497888333,55.674901244720836
50,36.666666666666664,0.016289048059917616,40.72262014979404,0.0263276474456808,65.819118614202,0.021781866591750302,54.45466647937575
